Name,Description,Tags,👩‍🔬 People
CNC Knitting,This project explored how to directly code and program an electronic knitting machine (Silver Reed SK840).,Textiles,"Alexandre Kaspar (People%20e15607f12c9542229f6890e1fa0afce1/Alexandre%20Kaspar%20af2b3424d202477ba0c324fc49fac862.csv), Sophia Brueckner (People%20e15607f12c9542229f6890e1fa0afce1/Sophia%20Brueckner%2069c0dafcf97541aeaba7757222d66a87.csv), Jack Anderson Forman (People%20e15607f12c9542229f6890e1fa0afce1/Jack%20Anderson%20Forman%2019a89b97cd274c9c9bada810ca90a2e7.csv), Alex Zimmer (People%20e15607f12c9542229f6890e1fa0afce1/Alex%20Zimmer%2066065cb99cec4590a7cb33aeac3f2aa5.csv)"
Actuated Fibers for Active Folding,,,Jack Anderson Forman (People%20e15607f12c9542229f6890e1fa0afce1/Jack%20Anderson%20Forman%2019a89b97cd274c9c9bada810ca90a2e7.csv)
Clang + Bang,,"Electronics, Music","Ivana Dama (People%20e15607f12c9542229f6890e1fa0afce1/Ivana%20Dama%20bcfa5c97ef9940e79f561f2f8256052d.csv), Quentin Bolsee (People%20e15607f12c9542229f6890e1fa0afce1/Quentin%20Bolsee%20a4bcb2fbb02846b8b1c0d701c6c13cd5.csv), Jake Read (People%20e15607f12c9542229f6890e1fa0afce1/Jake%20Read%20b49ba5c9e30d435d8c16b5c42088b9e2.csv), Christopher Taylor (People%20e15607f12c9542229f6890e1fa0afce1/Christopher%20Taylor%20b99cab5eb8484fe28e3311895fc463f2.csv)"
2-Channel Theremin,,"Electronics, Music","Ivana Dama (People%20e15607f12c9542229f6890e1fa0afce1/Ivana%20Dama%20bcfa5c97ef9940e79f561f2f8256052d.csv), Jake Read (People%20e15607f12c9542229f6890e1fa0afce1/Jake%20Read%20b49ba5c9e30d435d8c16b5c42088b9e2.csv), Neil Gershenfeld (People%20e15607f12c9542229f6890e1fa0afce1/Neil%20Gershenfeld%20a9d2fa84bd1b4fa4b6b69d4680b70777.csv), Quentin Bolsee (People%20e15607f12c9542229f6890e1fa0afce1/Quentin%20Bolsee%20a4bcb2fbb02846b8b1c0d701c6c13cd5.csv), Christopher Taylor (People%20e15607f12c9542229f6890e1fa0afce1/Christopher%20Taylor%20b99cab5eb8484fe28e3311895fc463f2.csv)"
High-res Scanner,"This project set out to build a machine capable of capturing micro-scale textures, which could be applied to a 3D modeled file, or blown up and put in places where they don't belong using digital fabrication. An open-source database of textures would be useful for artists, craftspeople, and designers interested in using digital fabrication to aid their respective craft / manufacturing method. Unfortunately existing texture maps used in 3D modeling and rendering software are often applied as flat shaders. This means that when looking for 3D models, it's common to find that they lack surface topology necessary for creating a complete 3D representation. A 1-axis 3D scanner was designed and built, which used a DIY tubular linear motor to traverse a laser line scanner across an artifact of interest. By mapping associated linear positions to line scans, we can recreate a 3D representation of an object or texture with up to 30um of resolution. Over the course of the haystack labs the scanner was used to capture textures of found objects from Haystack's coastline, including a shell and leaf, as well as crafted objects, including the broken edge of a ceramic serving bowl among others.",3D Scanning,David Preiss (People%20e15607f12c9542229f6890e1fa0afce1/David%20Preiss%20ba80edacbf954c72bb260c572019ebf6.csv)
Robotic Arm,,,
Photographic Spirals,,Design,
Wood Folding,,,
Clay Printing + Leo’s Design Tool,,,
QR Codes,,,
Musical Instruments as a Digital Interface,,,
AI Generative Workflow,,,
VR Workflow,,,
Biomaterial Fabrication,This project explored the use of oyster shells to develop new materials.,"Biomaterials, Ceramics","Nicole Bakker (People%20e15607f12c9542229f6890e1fa0afce1/Nicole%20Bakker%2096990cfeec6345d6adf1a6fc4e1e8b9f.csv), Dana Maringo (People%20e15607f12c9542229f6890e1fa0afce1/Dana%20Maringo%204dfab33a67a248f38246d593b397142d.csv), Giulio Buscaroli (People%20e15607f12c9542229f6890e1fa0afce1/Giulio%20Buscaroli%208734a1915c494ed388b97f903dd5e4aa.csv), Graham Yeager (People%20e15607f12c9542229f6890e1fa0afce1/Graham%20Yeager%205410846c091b40b8ac082e42c2cd6cd2.csv), Rhea Vedro (People%20e15607f12c9542229f6890e1fa0afce1/Rhea%20Vedro%20ff661a78e54e49ed961f8dda2de6f86a.csv)"
Lingdong Slicer,,,
Bodet Problem cont’d,,,
4th Axis Post-processing,,,
Lightstage,,,
Shirts,,,
Shoe Bread “Loafers”,,,
Community x Education,,,"Erik Demaine (People%20e15607f12c9542229f6890e1fa0afce1/Erik%20Demaine%20e5a255eac0a443788916f6145da7081d.csv), Timea Tihanyi (People%20e15607f12c9542229f6890e1fa0afce1/Timea%20Tihanyi%2035fa129457ef4b66a675c0444368b631.csv), Leo McElroy (People%20e15607f12c9542229f6890e1fa0afce1/Leo%20McElroy%2019096a96bb8743fa870c7b113a8208ba.csv), John Martincic (People%20e15607f12c9542229f6890e1fa0afce1/John%20Martincic%20cb36d58a9751471fa94d80019817ae62.csv), Jake Read (People%20e15607f12c9542229f6890e1fa0afce1/Jake%20Read%20b49ba5c9e30d435d8c16b5c42088b9e2.csv), Quentin Bolsee (People%20e15607f12c9542229f6890e1fa0afce1/Quentin%20Bolsee%20a4bcb2fbb02846b8b1c0d701c6c13cd5.csv), Graham Yeager (People%20e15607f12c9542229f6890e1fa0afce1/Graham%20Yeager%205410846c091b40b8ac082e42c2cd6cd2.csv), Hideo Mabuchi (People%20e15607f12c9542229f6890e1fa0afce1/Hideo%20Mabuchi%205756dd42576d47f1936c12926f6020c0.csv), Rhea Vedro (People%20e15607f12c9542229f6890e1fa0afce1/Rhea%20Vedro%20ff661a78e54e49ed961f8dda2de6f86a.csv)"
